Unnamed: 0,What was the purpose of your journey?,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
en,Leisure / Holiday,,,Very satisfied,,Mobile App,No,Very satisfied,,,Neutral,,No,,,Satisfied,,Very satisfied,,,,10,,,,LIS,LUX,LIGHT,Couple
fr,Leisure / Holiday,,,Very unsatisfied,,Check-In counter at the airport,Yes,,Very unsatisfied,,Very unsatisfied,,No,,,Very unsatisfied,,Very unsatisfied,,Very unsatisfied,,10,,,,LUX,,,
de,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Satisfied,,10,,,Den außergewöhnlich guten Service,LUX,OSL,SMART,Single
en,Leisure / Holiday,,,Satisfied,,Mobile App,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Satisfied,,Very satisfied,,Satisfied,,10,,,,LUX,TFS,,Family
de,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,NCE,SMART,Single
de,,"Visiting family, friends or relatives",,Very satisfied,,Mobile App,Yes,Very satisfied,Satisfied,,Satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,Freundlichkeit   Preisleistung  Sicherheit   Punktlichkeit,DJE,LUX,SMART,Couple
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,Good and friendly service on board the flight ,LUX,,,
fr,Leisure / Holiday,,,Very satisfied,,Mobile App,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Satisfied,,Very satisfied,,Very satisfied,,10,,,"sécurité, fiabilité, à l'écoute, propreté, hospitalité, aimabilité, etc  ",TFS,LUX,SMART,Family
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Satisfied,,Very satisfied,,Very satisfied,,10,,,,BUD,LUX,SMART,Single
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Satisfied,,Satisfied,,Satisfied,,10,,,,LUX,,,
